,orentation
125-Fg002-R-C01-R01-D10112011-T122644-LR445_ColorCal_both_110209.png,v
125-Fg003-R-C01-R01-D10112011-T123322-LR445_ColorCal_both_110209.png,x
125-Fg004-R-C01-R01-D10112011-T124547-LR445_ColorCal_both_110209.png,x
125-Fg005-R-C01-R01-D10112011-T124933-LR445_ColorCal_both_110209.png,x
125-Fg007-R-C01-R01-D10112011-T130523-LR445_ColorCal_both_110209.png,x
125-Fg008-R-C01-R01-D10112011-T132859-LR445_ColorCal_both_110209.png,x
125-Fg009-R-C01-R01-D10112011-T133421-LR445_ColorCal_both_110209.png,x
125-Fg010-R-C01-R01-D10112011-T134743-LR445_ColorCal_both_110209.png,x
125-Fg012-R-C01-R01-D10112011-T140410-LR445_ColorCal_both_110209.png,x
125-Fg014-R-C01-R01-D10112011-T142508-LR445_ColorCal_both_110209.png,x
125-Fg015-R-C01-R01-D10112011-T142959-LR445_ColorCal_both_110209.png,x
125-Fg017-R-C01-R01-D10112011-T150656-LR445_ColorCal_both_110209.png,x
126-Fg001-R-C01-R01-D13112011-T124759-LR445_ColorCal_both_110209.png,x
126-Fg002-R-C01-R01-D13112011-T130036-LR445_ColorCal_both_110209.png,x
126-Fg003-R-C01-R01-D13112011-T130423-LR445_ColorCal_both_110209.png,x
126-Fg004-R-C01-R01-D13112011-T131533-LR445_ColorCal_both_110209.png,x
126-Fg005-R-C01-R01-D13112011-T132114-LR445_ColorCal_both_110209.png,x
126-Fg006-R-C01-R01-D13112011-T133316-LR445_ColorCal_both_110209.png,x
126-Fg009-R-C01-R01-D13112011-T140358-LR445_ColorCal_both_110209.png,x
126-Fg010-R-C01-R01-D13112011-T141601-LR445_ColorCal_both_110209.png,x
126-Fg011-R-C01-R01-D13112011-T142016-LR445_ColorCal_both_110209.png,x
127-Fg001-R-C01-R01-D21112011-T135039-LR445_ColorCal_both_110209.png,x
127-Fg002-R-C01-R01-D21112011-T140223-LR445_ColorCal_both_110209.png,x
127-Fg003-R-C01-R01-D21112011-T140616-LR445_ColorCal_both_110209.png,x
129-Fg001-R-C01-R01-D22112011-T135515-LR445_ColorCal_both_110209.png,x
129-Fg002-R-C01-R01-D22112011-T140843-LR445_ColorCal_both_110209.png,x
129-Fg005-R-C01-R01-D22112011-T144116-LR445_ColorCal_both_110209.png,x
129-Fg008-R-C01-R01-D22112011-T151312-LR445_ColorCal_both_110209.png,x
129-Fg009-R-C01-R01-D22112011-T151812-LR445_ColorCal_both_110209.png,x
129-Fg010-R-C01-R01-D22112011-T153050-LR445_ColorCal_both_110209.png,x
130-Fg001-R-C01-R01-D24112011-T094901-LR445_ColorCal_both_110209.png,x
132-Fg001-R-C01-R01-D24112011-T103958-LR445_ColorCal_both_110209.png,x
132-Fg002-R-C01-R01-D24112011-T105243-LR445_ColorCal_both_110209.png,x
132-Fg004-R-C01-R01-D24112011-T111158-LR445_ColorCal_both_110209.png,x
132-Fg005-R-C01-R01-D24112011-T111827-LR445_ColorCal_both_110209.png,x
132-Fg007-R-C01-R01-D24112011-T113916-LR445_ColorCal_both_110209.png,x
137-Fg001-R-C01-R01-D24112011-T123411-LR445_ColorCal_both_110209.png,x
137-Fg003-R-C01-R01-D24112011-T130333-LR445_ColorCal_both_110209.png,x
137-Fg004-R-C01-R01-D24112011-T132145-LR445_ColorCal_both_110209.png,x
137-Fg005-R-C01-R01-D24112011-T132734-LR445_ColorCal_both_110209.png,x
137-Fg006-R-C01-R01-D24112011-T134042-LR445_ColorCal_both_110209.png,x
137-Fg007-R-C01-R01-D24112011-T134857-LR445_ColorCal_both_110209.png,x
137-Fg008-R-C01-R01-D24112011-T140237-LR445_ColorCal_both_110209.png,x
137-Fg012-R-C01-R01-D24112011-T143726-LR445_ColorCal_both_110209.png,x
144-Fg001-R-C01-R01-D07032012-T085621-LR445_ColorCal_both_110209.png,x
144-Fg002-R-C01-R01-D07032012-T090836-LR445_ColorCal_both_110209.png,c
144-Fg003-R-C01-R01-D07032012-T091515-LR445_ColorCal_both_110209.png,x
144-Fg007-R-C01-R01-D07032012-T094732-LR445_ColorCal_both_110209.png,c
144-Fg008-R-C01-R01-D07032012-T100456-LR445_ColorCal_both_110209.png,x
144-Fg009-R-C01-R01-D07032012-T100916-LR445_ColorCal_both_110209.png,x
156B-Fg001-R-C01-R01-D06022012-T132426-LR445_ColorCal_both_110209.png,x
156B-Fg002-R-C01-R01-D06022012-T133655-LR445_ColorCal_both_110209.png,c
183-Fg001-R-C01-R01-D20112011-T143314-LR445_ColorCal_both_110209.png,x
183-Fg002-R-C01-R01-D20112011-T144553-LR445_ColorCal_both_110209.png,v
183-Fg003-R-C01-R01-D20112011-T144939-LR445_ColorCal_both_110209.png,x
183-Fg004-R-C01-R01-D20112011-T150115-LR445_ColorCal_both_110209.png,x
183-Fg005-R-C01-R01-D20112011-T150508-LR445_ColorCal_both_110209.png,x
197-Fg001-R-C01-R01-D03042012-T113847-LR445_ColorCal_both_110209.png,x
197-Fg002-R-C01-R01-D03042012-T115215-LR445_ColorCal_both_110209.png,x
197-Fg003-R-C01-R01-D03042012-T115641-LR445_ColorCal_both_110209.png,x
197-Fg004-R-C01-R01-D03042012-T120938-LR445_ColorCal_both_110209.png,x
197-Fg005-R-C01-R01-D03042012-T121428-LR445_ColorCal_both_110209.png,x
197-Fg007-R-C01-R01-D03042012-T130012-LR445_ColorCal_both_110209.png,x
197-Fg008-R-C01-R01-D03042012-T131412-LR445_ColorCal_both_110209.png,x
197-Fg009-R-C01-R01-D03042012-T132204-LR445_ColorCal_both_110209.png,x
202-Fg006-R-C01-R01-D04042012-T085611-LR445_ColorCal_both_110209.png,x
202-Fg008-R-C01-R01-D04042012-T091551-LR445_ColorCal_both_110209.png,x
202-Fg010-R-C01-R01-D04042012-T093503-LR445_ColorCal_both_110209.png,x
202-Fg011-R-C01-R01-D04042012-T093916-LR445_ColorCal_both_110209.png,x
202-Fg017-R-C01-R01-D04042012-T111311-LR445_ColorCal_both_110209.png,x
202-Fg018-R-C01-R01-D04042012-T113003-LR445_ColorCal_both_110209.png,x
202-Fg023-R-C01-R01-D04042012-T122908-LR445_ColorCal_both_110209.png,x
212-Fg001-R-C01-R01-D06122011-T133113-LR445_ColorCal_both_110209.png,x
212-Fg002-R-C01-R01-D06122011-T134804-LR445_ColorCal_both_110209.png,
212-Fg003-R-C01-R01-D06122011-T135330-LR445_ColorCal_both_110209.png,x
212-Fg004-R-C01-R01-D06122011-T140744-LR445_ColorCal_both_110209.png,x
223-Fg002-R-C01-R01-D06112011-T145559-LR445_ColorCal_both_110209.png,x
236-1-Fg001-R-C01-R01-D28112011-T152746-LR445_ColorCal_both_110209.png,x
236-1-Fg002-R-C01-R01-D28112011-T154311-LR445_ColorCal_both_110209.png,x
236-1-Fg003-R-C01-R01-D29112011-T083500-LR445_ColorCal_both_110209.png,x
242-Fg001-R-C01-R01-D25012012-T114635-LR445_ColorCal_both_110209.png,x
248-Fg001-R-C01-R01-D07122011-T140649-LR445_ColorCal_both_110209.png,x
248-Fg002-R-C01-R01-D07122011-T142033-LR445_ColorCal_both_110209.png,x
249-Fg003-R-C01-R01-D07122011-T151343-LR445_ColorCal_both_110209.png,x
257-Fg005-R-C01-R01-D18012012-T135111-LR445_ColorCal_both_110209.png,x
275-1-Fg001-R-C01-R01-D04102011-T141511-LR445_ColorCal_both_110209.png,
275-1-Fg002-R-C01-R01-D04102011-T143309-LR445_ColorCal_both_110209.png,
275-1-Fg003-R-C01-R01-D04102011-T143726-LR445_ColorCal_both_110209.png,
280-Fg006-R-C01-R01-D21112011-T120851-LR445_ColorCal_both_110209.png,x
289-Fg001-R-C01-R01-D21112011-T083502-LR445_ColorCal_both_110209.png,c
289-Fg002-R-C01-R01-D21112011-T085041-LR445_ColorCal_both_110209.png,c
289-Fg003-R-C01-R01-D21112011-T085520-LR445_ColorCal_both_110209.png,c
289-Fg004-R-C01-R01-D21112011-T090719-LR445_ColorCal_both_110209.png,x
289-Fg005-R-C01-R01-D21112011-T091122-LR445_ColorCal_both_110209.png,x
293-Fg001-R-C01-R01-D23112011-T082557-LR445_ColorCal_both_110209.png,x
293-Fg002-R-C01-R01-D23112011-T083840-LR445_ColorCal_both_110209.png,x
293-Fg003-R-C01-R01-D23112011-T084252-LR445_ColorCal_both_110209.png,c
293-Fg004-R-C01-R01-D23112011-T085803-LR445_ColorCal_both_110209.png,x
293-Fg005-R-C01-R01-D23112011-T090217-LR445_ColorCal_both_110209.png,x
293-Fg006-R-C01-R01-D23112011-T091336-LR445_ColorCal_both_110209.png,x
293-Fg007-R-C01-R01-D23112011-T091754-LR445_ColorCal_both_110209.png,x
293-Fg008-R-C01-R01-D23112011-T093007-LR445_ColorCal_both_110209.png,x
293-Fg009-R-C01-R01-D23112011-T095905-LR445_ColorCal_both_110209.png,x
293-Fg011-R-C01-R01-D23112011-T101701-LR445_ColorCal_both_110209.png,x
293-Fg012-R-C01-R01-D23112011-T102927-LR445_ColorCal_both_110209.png,x
293-Fg013-R-C01-R01-D23112011-T103445-LR445_ColorCal_both_110209.png,x
293-Fg014-R-C01-R01-D23112011-T104734-LR445_ColorCal_both_110209.png,x
293-Fg015-R-C01-R01-D23112011-T105210-LR445_ColorCal_both_110209.png,x
293-Fg016-R-C01-R01-D23112011-T113028-LR445_ColorCal_both_110209.png,x
293-Fg017-R-C01-R01-D23112011-T113415-LR445_ColorCal_both_110209.png,x
293-Fg018-R-C01-R01-D23112011-T114705-LR445_ColorCal_both_110209.png,x
293-Fg020-R-C01-R01-D23112011-T120643-LR445_ColorCal_both_110209.png,x
293-Fg022-R-C01-R01-D23112011-T122404-LR445_ColorCal_both_110209.png,x
293-Fg024-R-C01-R01-D23112011-T124929-LR445_ColorCal_both_110209.png,x
293-Fg031-R-C01-R01-D23112011-T134028-LR445_ColorCal_both_110209.png,x
293-Fg034-R-C01-R01-D23112011-T140725-LR445_ColorCal_both_110209.png,x
295-Fg001-R-C01-R01-D22112011-T110244-LR445_ColorCal_both_110209.png,x
295-Fg002-R-C01-R01-D22112011-T111729-LR445_ColorCal_both_110209.png,
295-Fg003-R-C01-R01-D22112011-T112228-LR445_ColorCal_both_110209.png,x
295-Fg004-R-C01-R01-D22112011-T113451-LR445_ColorCal_both_110209.png,x
295-Fg005-R-C01-R01-D22112011-T114036-LR445_ColorCal_both_110209.png,x
295-Fg006-R-C01-R01-D22112011-T120223-LR445_ColorCal_both_110209.png,x
295-Fg007-R-C01-R01-D22112011-T120641-LR445_ColorCal_both_110209.png,x
295-Fg008-R-C01-R01-D22112011-T121807-LR445_ColorCal_both_110209.png,x
295-Fg009-R-C01-R01-D22112011-T122218-LR445_ColorCal_both_110209.png,x
296-Fg002-R-C01-R01-D22112011-T124815-LR445_ColorCal_both_110209.png,
305-Fg001-R-C01-R01-D07112011-T124116-LR445_ColorCal_both_110209.png,v
312-Fg001-R-C01-R01-D15092011-T153102-LR445_ColorCalData_IAA_Both_CC110304_110702.png,x
312-Fg002-R-C01-R01-D15092011-T154319-LR445_ColorCalData_IAA_Both_CC110304_110702.png,x
312-Fg004-R-C03-R01-D19092011-T130712-LR445_ColorCalData_IAA_Both_CC110304_110702.png,x
312-Fg014-R-C01-R01-D19092011-T152324-LR445_ColorCalData_IAA_Both_CC110304_110702.png,x
325-Fg001-R-C01-R01-D22022012-T093504-LR445_ColorCal_both_110209.png,x
325-Fg002-R-C01-R01-D22022012-T095204-LR445_ColorCal_both_110209.png,x
325-Fg003-R-C01-R01-D22022012-T095955-LR445_ColorCal_both_110209.png,x
325-Fg004-R-C01-R01-D22022012-T104252-LR445_ColorCal_both_110209.png,x
350-Fg001-R-C01-R01-D07112011-T090128-LR445_ColorCal_both_110209.png,c
350-Fg002-R-C01-R01-D07112011-T092632-LR445_ColorCal_both_110209.png,x
350-Fg003-R-C01-R01-D07112011-T093125-LR445_ColorCal_both_110209.png,x
350-Fg005-R-C01-R01-D07112011-T095030-LR445_ColorCal_both_110209.png,x
350-Fg006-R-C01-R01-D07112011-T100313-LR445_ColorCal_both_110209.png,x
359A-Fg001-R-C01-R01-D06022012-T135201-LR445_ColorCal_both_110209.png,x
366-1-Fg001-R-C01-R01-D29112011-T111452-LR445_ColorCal_both_110209.png,x
366-1-Fg002-R-C01-R01-D29112011-T115040-LR445_ColorCal_both_110209.png,x
366-1-Fg003-R-C01-R01-D29112011-T115734-LR445_ColorCal_both_110209.png,x
366-1-Fg004-R-C01-R01-D29112011-T121443-LR445_ColorCal_both_110209.png,x
366-1-Fg005-R-C01-R01-D29112011-T121905-LR445_ColorCal_both_110209.png,x
366-1-Fg006-R-C01-R01-D29112011-T123041-LR445_ColorCal_both_110209.png,x
372-Fg001-R-C02-R01-D29112011-T094505-LR445_ColorCal_both_110209.png,x
372-Fg002-R-C01-R01-D29112011-T100108-LR445_ColorCal_both_110209.png,x
372-Fg003-R-C01-R01-D29112011-T100606-LR445_ColorCal_both_110209.png,x
380-Fg001-R-C01-R01-D14092011-T101928-LR445_ColorCalData_IAA_Both_CC110304_110702.png,x
380-Fg002-R-C01-R01-D14092011-T103209-LR445_ColorCalData_IAA_Both_CC110304_110702.png,x
380-Fg003-R-C01-R01-D14092011-T104236-LR445_ColorCalData_IAA_Both_CC110304_110702.png,x
380-Fg004-R-C01-R01-D14092011-T110153-LR445_ColorCalData_IAA_Both_CC110304_110702.png,x
380-Fg006-R-C01-R01-D14092011-T112639-LR445_ColorCalData_IAA_Both_CC110304_110702.png,x
380-Fg007-R-C01-R01-D14092011-T113735-LR445_ColorCalData_IAA_Both_CC110304_110702.png,x
380-Fg008-R-C01-R01-D14092011-T115553-LR445_ColorCalData_IAA_Both_CC110304_110702.png,x
380-Fg009-R-C01-R01-D14092011-T132402-LR445_ColorCalData_IAA_Both_CC110304_110702.png,x
380-Fg016-R-C01-R01-D14092011-T144515-LR445_ColorCalData_IAA_Both_CC110304_110702.png,x
40-Fg008-R-C01-R01-D04102011-T161016-LR445_ColorCal_both_110209.png,x
419-Fg001-R-C03-R02-D15032012-T111138-LR445_ColorCal_both_110209.png,x
419-Fg002-R-C01-R01-D15032012-T112626-LR445_ColorCal_both_110209.png,x
419-Fg003-R-C01-R01-D15032012-T113106-LR445_ColorCal_both_110209.png,x
419-Fg004-R-C01-R01-D15032012-T114318-LR445_ColorCal_both_110209.png,
419-Fg005-R-C01-R01-D15032012-T114717-LR445_ColorCal_both_110209.png,x
419-Fg006-R-C01-R01-D15032012-T115949-LR445_ColorCal_both_110209.png,x
419-Fg009-R-C01-R01-D15032012-T123111-LR445_ColorCal_both_110209.png,x
419-Fg010-R-C01-R01-D15032012-T124453-LR445_ColorCal_both_110209.png,x
419-Fg012-R-C01-R01-D15032012-T130442-LR445_ColorCal_both_110209.png,
419-Fg013-R-C01-R01-D15032012-T130909-LR445_ColorCal_both_110209.png,x
419-Fg015-R-C01-R01-D15032012-T132631-LR445_ColorCal_both_110209.png,x
419-Fg017-R-C01-R01-D15032012-T134424-LR445_ColorCal_both_110209.png,v
419-Fg018-R-C01-R01-D15032012-T135659-LR445_ColorCal_both_110209.png,x
419-Fg019-R-C01-R01-D15032012-T140627-LR445_ColorCal_both_110209.png,x
419-Fg021-R-C01-R01-D15032012-T142253-LR445_ColorCal_both_110209.png,x
423-1-Fg001-R-C01-R01-D29112011-T130440-LR445_ColorCal_both_110209.png,x
423-1-Fg003-R-C01-R01-D29112011-T135514-LR445_ColorCal_both_110209.png,x
423-1-Fg004-R-C01-R01-D29112011-T135945-LR445_ColorCal_both_110209.png,x
430-Fg001-R-C01-R01-D07032012-T110449-LR445_ColorCal_both_110209.png,x
430-Fg002-R-C01-R01-D07032012-T111641-LR445_ColorCal_both_110209.png,x
430-Fg004-R-C01-R01-D07032012-T114545-LR445_ColorCal_both_110209.png,x
430-Fg005-R-C01-R01-D07032012-T115011-LR445_ColorCal_both_110209.png,x
468-Fg001-R-C01-R01-D02112011-T145958-LR445_ColorCal_both_110209.png,c
468-Fg003-R-C01-R01-D02112011-T151901-LR445_ColorCal_both_110209.png,x
488-Fg006-R-C01-R01-D19032012-T113902-LR445_ColorCal_both_110209.png,v
488-Fg007-R-C01-R01-D19032012-T114318-LR445_ColorCal_both_110209.png,x
488-Fg009-R-C01-R01-D19032012-T120004-LR445_ColorCal_both_110209.png,v
493-Fg001-R-C01-R01-D31102011-T091537-LR445_ColorCal_both_110209.png,x
493-Fg002-R-C01-R01-D31102011-T093028-LR445_ColorCal_both_110209.png,x
493-Fg003-R-C01-R01-D31102011-T093610-LR445_ColorCal_both_110209.png,x
493-Fg004-R-C01-R01-D31102011-T095418-LR445_ColorCal_both_110209.png,x
493-Fg005-R-C01-R01-D31102011-T095936-LR445_ColorCal_both_110209.png,x
493-Fg006-R-C01-R01-D31102011-T101254-LR445_ColorCal_both_110209.png,x
493-Fg007-R-C01-R01-D31102011-T102032-LR445_ColorCal_both_110209.png,x
493-Fg012-R-C01-R01-D31102011-T113116-LR445_ColorCal_both_110209.png,x
493-Fg013-R-C01-R01-D31102011-T113513-LR445_ColorCal_both_110209.png,x
493-Fg014-R-C01-R01-D31102011-T115101-LR445_ColorCal_both_110209.png,c
495-Fg003-R-C01-R01-D28112011-T114846-LR445_ColorCal_both_110209.png,x
495-Fg004-R-C01-R01-D28112011-T115238-LR445_ColorCal_both_110209.png,x
495-Fg005-R-C01-R01-D28112011-T120446-LR445_ColorCal_both_110209.png,x
495-Fg006-R-C01-R01-D28112011-T120915-LR445_ColorCal_both_110209.png,x
495-Fg007-R-C01-R01-D28112011-T122109-LR445_ColorCal_both_110209.png,x
495-Fg010-R-C01-R01-D28112011-T124528-LR445_ColorCal_both_110209.png,x
495-Fg013-R-C01-R01-D28112011-T131210-LR445_ColorCal_both_110209.png,x
495-Fg014-R-C01-R01-D28112011-T131556-LR445_ColorCal_both_110209.png,x
495-Fg015-R-C01-R01-D28112011-T133230-LR445_ColorCal_both_110209.png,x
495-Fg016-R-C01-R01-D28112011-T133622-LR445_ColorCal_both_110209.png,x
495-Fg017-R-C01-R01-D28112011-T135023-LR445_ColorCal_both_110209.png,x
495-Fg018-R-C01-R01-D28112011-T135509-LR445_ColorCal_both_110209.png,x
495-Fg019-R-C01-R01-D28112011-T140742-LR445_ColorCal_both_110209.png,x
495-Fg020-R-C01-R01-D28112011-T141234-LR445_ColorCal_both_110209.png,x
495-Fg021-R-C01-R01-D28112011-T142534-LR445_ColorCal_both_110209.png,x
495-Fg022-R-C01-R01-D28112011-T144510-LR445_ColorCal_both_110209.png,x
495-Fg023-R-C01-R01-D28112011-T150114-LR445_ColorCal_both_110209.png,x
498-Fg002-R-C01-R01-D14022012-T102938-LR445_ColorCal_both_110209.png,x
498-Fg003-R-C01-R01-D14022012-T104144-LR445_ColorCal_both_110209.png,x
498-Fg004-R-C01-R01-D14022012-T110125-LR445_ColorCal_both_110209.png,x
498-Fg005-R-C01-R01-D14022012-T111401-LR445_ColorCal_both_110209.png,x
498-Fg006-R-C01-R01-D14022012-T111836-LR445_ColorCal_both_110209.png,x
498-Fg008-R-C01-R01-D14022012-T113510-LR445_ColorCal_both_110209.png,x
498-Fg009-R-C01-R01-D14022012-T114925-LR445_ColorCal_both_110209.png,x
498-Fg010-R-C01-R01-D14022012-T115358-LR445_ColorCal_both_110209.png,x
498-Fg011-R-C01-R01-D14022012-T121530-LR445_ColorCal_both_110209.png,x
498-Fg012-R-C01-R01-D14022012-T121932-LR445_ColorCal_both_110209.png,x
498-Fg013-R-C01-R01-D14022012-T123154-LR445_ColorCal_both_110209.png,x
498-Fg014-R-C01-R01-D14022012-T123720-LR445_ColorCal_both_110209.png,x
498-Fg015-R-C01-R01-D14022012-T125025-LR445_ColorCal_both_110209.png,x
498-Fg016-R-C01-R01-D14022012-T125511-LR445_ColorCal_both_110209.png,x
498-Fg017-R-C01-R01-D14022012-T130756-LR445_ColorCal_both_110209.png,x
498-Fg018-R-C01-R01-D14022012-T131213-LR445_ColorCal_both_110209.png,x
498-Fg019-R-C01-R01-D14022012-T132503-LR445_ColorCal_both_110209.png,x
498-Fg021-R-C01-R01-D14022012-T134506-LR445_ColorCal_both_110209.png,x
498-Fg022-R-C01-R01-D14022012-T135658-LR445_ColorCal_both_110209.png,x
498-Fg023-R-C01-R01-D14022012-T140930-LR445_ColorCal_both_110209.png,x
498-Fg024-R-C01-R01-D14022012-T141354-LR445_ColorCal_both_110209.png,x
498-Fg025-R-C01-R01-D14022012-T142912-LR445_ColorCal_both_110209.png,x
498-Fg026-R-C01-R01-D14022012-T143319-LR445_ColorCal_both_110209.png,x
498-Fg027-R-C01-R01-D14022012-T144555-LR445_ColorCal_both_110209.png,x
498-Fg029-R-C01-R01-D14022012-T150125-LR445_ColorCal_both_110209.png,x
498-Fg030-R-C01-R01-D14022012-T150531-LR445_ColorCal_both_110209.png,x
499-Fg001-R-C01-R01-D13022012-T141620-LR445_ColorCal_both_110209.png,x
499-Fg002-R-C01-R01-D13022012-T143007-LR445_ColorCal_both_110209.png,x
499-Fg003-R-C01-R01-D13022012-T143501-LR445_ColorCal_both_110209.png,x
499-Fg004-R-C01-R01-D13022012-T145235-LR445_ColorCal_both_110209.png,x
499-Fg005-R-C01-R01-D13022012-T145705-LR445_ColorCal_both_110209.png,x
499-Fg006-R-C01-R01-D13022012-T150947-LR445_ColorCal_both_110209.png,x
499-Fg010-R-C01-R01-D13022012-T154535-LR445_ColorCal_both_110209.png,x
499-Fg012-R-C01-R01-D13022012-T160346-LR445_ColorCal_both_110209.png,v
499-Fg013-R-C01-R01-D13022012-T160754-LR445_ColorCal_both_110209.png,x
499-Fg014-R-C01-R01-D14022012-T085400-LR445_ColorCal_both_110209.png,x
499-Fg015-R-C01-R01-D14022012-T090743-LR445_ColorCal_both_110209.png,x
499-Fg016-R-C01-R01-D14022012-T091157-LR445_ColorCal_both_110209.png,x
499-Fg017-R-C01-R01-D14022012-T092441-LR445_ColorCal_both_110209.png,x
499-Fg018-R-C01-R01-D14022012-T092859-LR445_ColorCal_both_110209.png,x
499-Fg019-R-C01-R01-D14022012-T094201-LR445_ColorCal_both_110209.png,x
499-Fg020-R-C01-R01-D14022012-T094648-LR445_ColorCal_both_110209.png,x
500-Fg001-R-C01-R01-D07022012-T140042-LR445_ColorCal_both_110209.png,c
500-Fg002-R-C01-R01-D07022012-T141525-LR445_ColorCal_both_110209.png,x
500-Fg003-R-C01-R01-D07022012-T141919-LR445_ColorCal_both_110209.png,x
500-Fg004-R-C01-R01-D07022012-T143047-LR445_ColorCal_both_110209.png,x
500-Fg005-R-C01-R01-D07022012-T143436-LR445_ColorCal_both_110209.png,x
500-Fg006-R-C01-R01-D07022012-T144549-LR445_ColorCal_both_110209.png,x
500-Fg007-R-C01-R01-D07022012-T144949-LR445_ColorCal_both_110209.png,x
500-Fg008-R-C01-R01-D07022012-T150913-LR445_ColorCal_both_110209.png,x
500-Fg009-R-C01-R01-D07022012-T151313-LR445_ColorCal_both_110209.png,x
500-Fg010-R-C01-R01-D07022012-T152425-LR445_ColorCal_both_110209.png,x
500-Fg011-R-C01-R01-D07022012-T152825-LR445_ColorCal_both_110209.png,x
500-Fg012-R-C01-R01-D13022012-T112234-LR445_ColorCal_both_110209.png,x
500-Fg013-R-C01-R01-D13022012-T113431-LR445_ColorCal_both_110209.png,x
500-Fg015-R-C01-R01-D13022012-T115050-LR445_ColorCal_both_110209.png,x
500-Fg016-R-C01-R01-D13022012-T115437-LR445_ColorCal_both_110209.png,x
500-Fg017-R-C01-R01-D13022012-T120604-LR445_ColorCal_both_110209.png,x
500-Fg021-R-C01-R01-D13022012-T123839-LR445_ColorCal_both_110209.png,x
501-Fg001-R-C01-R01-D13022012-T132044-LR445_ColorCal_both_110209.png,x
501-Fg002-R-C01-R01-D13022012-T133224-LR445_ColorCal_both_110209.png,v
501-Fg003-R-C01-R01-D13022012-T133605-LR445_ColorCal_both_110209.png,x
501-Fg004-R-C01-R01-D13022012-T134851-LR445_ColorCal_both_110209.png,x
501-Fg005-R-C01-R01-D13022012-T135237-LR445_ColorCal_both_110209.png,x
