,y
779,4Q1
780,4Q11
781,4Q74
782,4Q23
783,3Q12
784,4Q76
785,4Q33
786,4Q54
787,4Q56
788,4Q38d
789,4Q45
790,4Q11
791,4Q30
792,4Q3
793,4Q94
794,4Q54
795,4Q69
796,3Q12
797,4Q40
798,4Q65
799,4Q30
800,4Q86
801,4Q113
802,4Q45
803,4Q33
804,4Q76
805,4Q78
806,4Q69
807,3Q12
808,4Q23
809,4Q47
810,4Q29
811,4Q1
812,4Q29
813,4Q30
814,4Q1
815,4Q22
816,4Q94
817,4Q59
818,4Q46
819,4Q47
820,3Q14
821,3Q14
822,4Q11
823,3Q13
824,3Q14
825,3Q13
826,4Q68
827,4Q77
828,3Q14
829,4Q87
830,4Q98
831,4Q30
832,4Q22
833,4Q30
834,4Q11
835,4Q30
836,4Q46
837,4Q56
838,4Q56
839,4Q22
840,3Q12
841,4Q59
842,3Q12
843,4Q84
844,3Q14
845,4Q59
846,4Q22
847,4Q39
848,4Q45
849,4Q97
850,4Q55
851,4Q38
852,4Q32
853,4Q22
854,4Q33
855,4Q97
856,4Q68
857,4Q56
858,4Q45
859,4Q22
860,4Q11
861,4Q64
862,4Q68
863,4Q76
864,4Q68
865,4Q45
866,4Q11
867,4Q23
868,4Q68
869,4Q11
870,4Q23
871,4Q87
872,4Q94
873,4Q76
874,4Q84
875,4Q78
876,4Q46
877,3Q12
878,4Q76
879,4Q78
880,4Q10
881,4Q30
882,4Q45
883,4Q94
884,4Q11
885,3Q14
886,4Q86
887,4Q55
888,4Q11
889,3Q13
890,3Q12
891,4Q103
892,4Q98
893,4Q55
894,4Q29
895,4Q95
896,4Q11
897,4Q87
898,3Q13
899,4Q55
900,4Q113
901,4Q30
902,4Q11
903,4Q113
904,4Q1
905,4Q68
906,4Q115
907,4Q102
908,4Q46
909,4Q98
910,3Q13
911,3Q12
912,4Q1
913,4Q103
914,4Q10
915,4Q97
916,4Q48
917,1
918,4Q94
919,4Q1
920,4Q88
921,4Q30
922,4Q30
923,4Q58
924,3Q14
925,4Q40
926,4Q29
927,4Q19
928,4Q102
929,4Q23
930,4Q10
931,4Q65
932,4Q102
933,4Q95
934,4Q46
935,3Q12
936,4Q38
937,4Q98e
938,4Q117
939,4Q47
940,4Q46
941,4Q84
942,4Q30
943,4Q84
944,4Q11
945,3Q12
946,4Q113
947,4Q95
948,4Q1
949,4Q98
950,4Q18
951,4Q18
952,4Q75
953,4Q23
954,4Q9
955,4Q65
956,4Q96
957,4Q86
958,4Q84
959,3Q14
960,4Q68
961,4Q11
962,4Q23
963,4Q38b
964,4Q22
965,4Q11
966,4Q30
967,4Q94
968,4Q105
969,4Q47
970,4Q30
971,4Q8
972,4Q88
973,4Q29
974,4Q46
975,4Q98
976,4Q23
977,4Q33
978,4Q23
979,4Q69
980,4Q3
981,4Q23
982,4Q31
983,3Q13
984,3Q13
985,4Q96
986,4Q11
987,4Q1
988,4Q98
989,4Q46
990,4Q78
991,3Q13
992,4Q118
993,4Q78
994,4Q11
995,4Q88
996,3Q14
997,4Q23
998,4Q56
999,4Q115
1000,4Q78
1001,4Q95
1002,3Q14
1003,4Q78
1004,4Q23
1005,3Q12
1006,4Q79
1007,4Q97
1008,4Q33
1009,4Q65
1010,4Q67
1011,3Q13
1012,4Q66
1013,4Q97
1014,4Q38d
1015,4Q22
1016,4Q11
1017,4Q68
1018,4Q97
1019,4Q102
1020,4Q94
1021,4Q104
1022,4Q30
1023,4Q33
1024,4Q23
1025,4Q22
1026,4Q22
1027,4Q11
1028,4Q67
1029,4Q21
1030,4Q45
1031,4Q87
1032,4Q56
1033,4Q94
1034,4Q23
1035,4Q98e
1036,4Q97
1037,4Q88
1038,4Q66
1039,4Q116
1040,4Q38c
1041,4Q97
1042,4Q32
1043,4Q58
1044,4Q113
1045,4Q54
1046,4Q96
1047,4Q31
1048,4Q74
1049,4Q69
1050,4Q18
1051,4Q78
1052,4Q30
1053,4Q48
1054,4Q102
1055,4Q23
1056,4Q32
1057,4Q87
1058,4Q1
1059,4Q66
1060,3Q13
1061,4Q20
1062,4Q115
1063,4Q11
1064,4Q96
1065,4Q116
1066,4Q59
1067,4Q38
1068,4Q23
1069,4Q30
1070,3Q14
1071,4Q98e
1072,4Q59
1073,4Q59
1074,4Q76
1075,4Q87
1076,4Q11
1077,4Q117
1078,4Q30
1079,4Q66
1080,3Q12
1081,4Q23
1082,4Q38b
1083,4Q69
1084,4Q23
1085,4Q95
1086,4Q33
1087,4Q30
1088,4Q74
1089,4Q58
1090,3Q12
1091,4Q11
1092,4Q40
1093,4Q23
1094,4Q45
1095,4Q68
1096,4Q97
1097,4Q78
1098,4Q9
1099,4Q11
1100,4Q1
1101,4Q113
1102,4Q76
1103,4Q33
1104,4Q98
1105,3Q13
1106,4Q18
1107,4Q87
1108,4Q10
1109,4Q64
1110,4Q19
1111,4Q30
1112,4Q95
1113,4Q58
1114,4Q33
1115,4Q64
1116,4Q98
1117,3Q14
1118,4Q86
1119,4Q29
1120,4Q23
1121,4Q66
1122,4Q33
1123,4Q87
1124,3Q14
1125,4Q19
1126,4Q87
1127,4Q19
1128,4Q67
1129,4Q33
1130,4Q98
1131,4Q96
1132,4Q96
1133,4Q68
1134,4Q48
1135,4Q58
1136,4Q89
1137,3Q12
1138,4Q78
1139,4Q75
1140,4Q23
1141,4Q84
1142,4Q46
1143,4Q97
1144,4Q58
1145,4Q29
1146,4Q69
1147,4Q98
1148,4Q88
1149,4Q97
1150,4Q30
1151,4Q30
1152,4Q45
1153,4Q38b
1154,4Q65
1155,3Q13
1156,4Q98
1157,4Q87
1158,4Q64
1159,4Q78
1160,4Q30
1161,4Q48
1162,4Q56
1163,4Q54
1164,4Q9
1165,4Q22
1166,4Q1
1167,4Q33
1168,3Q14
1169,4Q98e
1170,4Q78
1171,4Q95
1172,4Q39
1173,4Q98
1174,4Q46
1175,4Q29
1176,4Q66
1177,4Q97
1178,4Q98e
1179,4Q46
1180,3Q13
1181,4Q45
1182,4Q3
1183,4Q46
1184,4Q23
1185,4Q88
1186,3Q14
1187,4Q38b
1188,4Q22
1189,4Q88
1190,4Q88
1191,4Q84
1192,4Q86
1193,4Q11
1194,4Q97
1195,4Q87
1196,4Q75
1197,4Q30
1198,4Q78
1199,3Q13
1200,4Q23
1201,4Q29
1202,4Q22
1203,4Q96
1204,4Q94
1205,4Q33
1206,4Q59
1207,4Q33
1208,3Q13
1209,4Q78
1210,4Q11
1211,4Q1
1212,4Q68
1213,4Q96
1214,4Q30
1215,3Q14
1216,4Q23
1217,4Q98e
1218,4Q47
1219,4Q56
1220,3Q14
1221,4Q23
1222,4Q76
1223,4Q86
1224,4Q75
1225,4Q67
1226,4Q56
1227,4Q96
1228,4Q23
1229,4Q38
1230,4Q95
1231,4Q33
1232,4Q56
1233,4Q11
1234,4Q23
1235,4Q88
1236,4Q59
1237,4Q18
1238,3Q14
1239,3Q12
1240,4Q1
1241,4Q103
1242,3Q13
1243,4Q46
1244,4Q8
1245,4Q65
1246,4Q30
1247,4Q74
1248,4Q30
1249,4Q11
1250,4Q78
1251,4Q23
1252,4Q64
1253,4Q68
1254,4Q23
1255,4Q40
1256,4Q69
1257,4Q11
1258,4Q46
1259,4Q113
1260,4Q64
1261,4Q95
1262,4Q33
1263,4Q30
1264,4Q94
1265,3Q14
1266,4Q11
1267,4Q1
1268,4Q21
1269,4Q30
1270,4Q118
1271,4Q30
1272,4Q96
1273,4Q10
1274,4Q10
1275,4Q84
1276,4Q67
1277,4Q87
1278,4Q45
1279,4Q59
1280,4Q67
1281,4Q18
1282,4Q23
1283,4Q1
1284,4Q11
1285,4Q23
1286,4Q89
1287,4Q33
1288,4Q23
1289,4Q94
1290,4Q64
1291,4Q86
1292,2
1293,4Q56
1294,4Q98
1295,4Q23
1296,4Q66
1297,4Q98e
1298,4Q98
1299,4Q66
1300,4Q11
1301,4Q78
1302,4Q30
1303,3Q14
1304,4Q87
1305,4Q23
1306,4Q31
1307,4Q76
1308,4Q18
1309,3Q14
1310,4Q30
1311,4Q18
1312,4Q58
1313,4Q38b
1314,4Q98
1315,4Q66
1316,4Q33
1317,4Q30
1318,3Q14
1319,4Q58
1320,4Q30
1321,4Q1
1322,4Q1
1323,4Q30
1324,4Q39
1325,4Q98
1326,4Q23
1327,3Q14
1328,4Q94
1329,4Q39
1330,4Q84
1331,3Q13
1332,4Q89
1333,4Q98
1334,4Q87
1335,4Q86
1336,4Q95
1337,4Q22
1338,4Q23
1339,4Q98
1340,4Q18
1341,4Q1
1342,4Q45
1343,4Q76
1344,4Q20
1345,3Q12
1346,4Q30
1347,4Q87
1348,4Q94
1349,4Q11
1350,4Q23
1351,4Q84
1352,4Q23
1353,4Q118
1354,4Q97
1355,4Q33
1356,4Q12
1357,4Q56
1358,4Q47
1359,4Q98e
1360,4Q46
1361,4Q65
1362,4Q106
1363,4Q8
1364,3Q12
1365,3Q12
1366,4Q33
1367,3Q13
1368,3Q12
1369,4Q23
1370,4Q102
1371,4Q33
1372,4Q55
1373,4Q30
1374,4Q55
1375,4Q45
1376,4Q116
1377,4Q46
1378,4Q105
1379,4Q48
1380,4Q88
1381,4Q96
1382,4Q1
1383,4Q38d
1384,4Q20
1385,4Q38
1386,4Q11
1387,4Q87
1388,4Q65
1389,4Q78
1390,4Q33
1391,4Q65
1392,4Q78
1393,4Q11
1394,4Q29
1395,4Q84
1396,4Q39
1397,4Q30
1398,4Q11
1399,4Q59
1400,4Q10
1401,4Q45
1402,4Q98e
1403,3Q13
1404,4Q29
1405,4Q31
1406,4Q59
1407,4Q18
1408,4Q54
1409,3Q12
1410,4Q96
1411,4Q87
1412,4Q84
1413,4Q33
1414,4Q113
1415,4Q33
1416,4Q94
1417,4Q11
1418,4Q105
1419,3Q13
1420,4Q23
1421,4Q33
1422,4Q94
1423,4Q9
1424,4Q65
1425,4Q11
1426,4Q38b
1427,4Q66
1428,4Q45
1429,4Q79
1430,4Q96
1431,4Q23
1432,4Q96
1433,4Q87
1434,4Q66
1435,4Q74
1436,4Q33
1437,2
1438,4Q23
1439,4Q38b
1440,4Q23
1441,4Q115
1442,4Q30
1443,4Q56
1444,4Q98e
1445,4Q18
1446,4Q11
1447,4Q103
1448,3Q14
1449,4Q30
1450,3Q13
1451,4Q33
1452,4Q58
1453,4Q11
1454,4Q11
1455,4Q78
1456,4Q30
1457,4Q38d
1458,4Q113
1459,4Q11
1460,4Q31
1461,4Q78
1462,4Q38d
1463,4Q88
1464,4Q67
1465,3Q12
1466,4Q105
1467,4Q102
