,image,proposed manus
10,P74-Fg050-R-C01-R01-D09082015-T123412-LR445 _PSC,"['4Q426', '4Q364', '4Q429', '4Q385', '4Q321', '4Q51', '4Q365', '4Q364', '4Q206', '4Q385', '4Q543', '8Q5', '4Q27', '4Q33', '4Q254', '4Q33', '4Q381', '4Q23', '4Q95', '4Q51']"
11,P70-Fg051-R-C01-R01-D08092016-T122246-LR445 _PSC,"['4Q269', '4Q214', '4Q538', '4Q84', '4Q421', '4Q42', '4Q416', '4Q402', '4Q128', '4Q213', '4Q420', '4Q286', '4Q269', '4Q213a', '4Q364', '4Q266', '4Q57', '4Q161', '4Q450', '4Q550']"
12,P70-Fg002-R-C01-R01-D06092016-T112145-LR445 _PSC,"['4Q213a', '4Q209', '4Q299', '4Q521', '4Q264', '4Q55', '4Q383', '4Q87', '4Q60', '4Q321a-190', '4Q60', '4Q470', '4Q299', '2Q22', '4Q83', '4Q176', '4Q287', '4Q299', '4Q73', '4Q26']"
13,P8-Fg059-R-C01-R01-D28062015-T133721-LR445 _PSC,"['4Q502', '4Q224', '6Q26', 'MUR48', '4Q502', '4Q196', 'MUR115', '4Q558', '4Q391', '4Q558', '4Q502', '4Q519', '6Q9', 'MUR41', '4Q196', '4Q502', '4Q519', '4Q208', '4Q432', '4Q208']"
14,P82-Fg038-R-C01-R01-D09102013-T113509-LR445 _ColorCalData_IAA_Both_CC110304_110702,"['4Q267', '4Q51', '4Q374', '4Q266', '4Q267', '4Q267', '4Q27', '4Q267', '4Q374', '4Q537', '4Q51', '4Q365', '4Q80', '4Q381', '4Q286', '4Q51', '4Q267', '4Q525', '3Q14', '4Q267']"
15,P43-Fg085-R-C01-R01-D06122015-T141550-LR445 _PSC,"['4Q260', '4Q37', '4Q16', '4Q299', '4Q209', '4Q418', '4Q78', '4Q78', '4Q553', '4Q334', '4Q299', '4Q55', '4Q418', '4Q409', '4Q55', '4Q546', '4Q418', '4Q380', '4Q418', '4Q56']"
16,P91-Fg037-R-C02-R01-D30032015-T111150-LR445 _PSC,"['4Q301', '4Q547', '4Q220', '4Q208', '4Q423', '4Q38', '4Q422', '4Q422', '4Q51', '4Q418', '4Q422', '4Q418', '4Q210', '4Q418', '4Q209', '4Q380', '4Q30', '4Q437', '4Q322', '4Q33']"
17,P75-Fg055-R-C01-R01-D30072014-T135051-LR445 _PSC,"['4Q418', '4Q419', '4Q423', '4Q266', '4Q418', '4Q44', '4Q88', '4Q418', '4Q418', '6Q15', '4Q418', '4Q23', '4Q208', '4Q196', 'MUR59', '4Q418', '4Q418', '4Q418', '4Q163', '4Q334']"
18,P68-Fg017-R-C01-R01-D06102015-T150404-LR445 _PSC,"['4Q160', '4Q19', '4Q261', '4Q584', '4Q159', '4Q265', '4Q78', '4Q423', '4Q422', '4Q543', '4Q57', '4Q437', '4Q56', '4Q258', '4Q418', '4Q208', '4Q209', '4Q213', '4Q419', '4Q418']"
19,P8-Fg081-R-C01-R01-D29062015-T114945-LR445 _PSC,"['4Q208', '4Q391', '4Q484', '4Q223', '4Q302', '4Q391', '4Q502', '4Q196', '4Q23', '4Q572', '4Q502', '4Q23', '11Q25', 'MUR115', '4Q519', '4Q500', '4Q382', '4Q107', '4Q558', '4Q23']"
20,P91-Fg039-R-C01-R01-D30032015-T123436-LR445 _PSC,"['4Q226', 'Mas 1b', '11Q6', '4Q82', '4Q530', '4Q521', '4Q580', '4Q27', '11Q6', '4Q230', '4Q531', '4Q38c', '4Q184', '4Q266', '4Q388', '4Q103', '4Q401', '4Q388', '4Q34', '11Q17']"
21,P91-Fg047-R-C01-R01-D30032015-T134215-LR445 _PSC,"['4Q419', '4Q177', '4Q196', '4Q418', '4Q270', '4Q418', '4Q57', '4Q15', '4Q44', '4Q266', '4Q176', '4Q163', '4Q458', '4Q543', '4Q423', '4Q423', '4Q51', '4Q52', '6Q15', '4Q23']"
22,P615-Fg006-R-C01-R01-D26112013-T105205-LR445 _ColorCalData_IAA_Left_CC110304_110702,"['4Q521', '11Q18', '11Q10', '11Q13', '4Q200', '11Q6', '4Q160', '4Q390', '4Q51', '4Q161', '4Q57', '11Q17', '4Q173', '4Q536', '4Q83', '4Q23', 'WS1', '4Q401', '4Q552', '4Q87']"
23,P91-Fg041-R-C01-R01-D30032015-T124920-LR445 _PSC,"['4Q584', '4Q422', '4Q209', '4Q38', '4Q547', '4Q208', '4Q210', '4Q418', '4Q418', '4Q423', '4Q422', '4Q418', '4Q407', '4Q418', '4Q53', '4Q477', '4Q301', '4Q26', '4Q13', '4Q380']"
24,P82-Fg017-R-C01-R01-D07102013-T121215-LR445 _ColorCalData_IAA_Both_CC110304_110702,"['4Q360', '4Q266', '4Q51', '4Q206', '4Q379', '4Q261', '4Q51', '4Q582', 'MUR59', '4Q458', '3Q6', '4Q521', '4Q381', '4Q51', '4Q176', '4Q525', '4Q402', '4Q379', '4Q267', '4Q379']"
25,P74-Fg056-R-C01-R01-D09082015-T131959-LR445 _PSC,"['4Q284', '4Q537', '11Q17', '4Q389', '4Q504', '11Q17', '4Q63', '11Q10', '4Q286', '4Q203', '4Q51', '4Q57', '4Q103', '4Q9999', '4Q57', '4Q209', '4Q543', '2Q23', '4Q158', '4Q39']"
26,P93-Fg051-R-C01-R01-D27052015-T142739-LR445 _PSC,"['MUR59', '4Q379', '4Q51', '4Q163', '4Q282', '4Q266', '4Q458', '4Q582', '4Q51', '4Q360', '4Q267', '4Q418', '4Q286', '4Q266', '4Q423', '4Q458', '4Q266', '4Q88', '4Q80', '4Q525']"
27,P95-Fg066-R-C01-R01-D07072015-T120158-LR445 _PSC,"['4Q380', '4Q521', '4Q533', '4Q418', '4Q34', '4Q220', '4Q86', '4Q413', '4Q266', '4Q221', '4Q184', '4Q38', '4Q259', '2Q33', '4Q530', '4Q554', '4Q388', '4Q381', '4Q418', '4Q415']"
28,P68-Fg064-R-C01-R01-D08102015-T104353-LR445 _PSC,"['4Q415', '11Q7', '4Q55', '4Q530', '4Q299', '4Q38c', '4Q388', '4Q23', '4Q413', '4Q220', 'Mas 1b', '4Q226', '4Q73', '4Q525', '4Q34', '4Q266', '4Q5', '4Q380', '4Q256', '4Q554']"
29,P92-Fg007-R-C01-R01-D06052015-T144036-LR445 _PSC,"['4Q83', '4Q52', '4Q405', '4Q57', '4Q34', '4Q405', '4Q5', '4Q103', '4Q556', '4Q299', '4Q421', '4Q531', '4Q543', 'Mas 1b', '4Q261', '4Q531', '11Q16', '2Q33', '4Q23', '4Q58']"
30,P581-Fg016-R-C01-R01-D06022014-T141824-LR445 _ColorCalData_IAA_Both_CC110304_110702,"['4Q182', '4Q206', '4Q76', '4Q206', '4Q27', '4Q389', '4Q385', '4Q99', '4Q99', '4Q381', '4Q33', '4Q51', '4Q426', '4Q63', '4Q95', '4Q525', '4Q381', '4Q51', '4Q364', '4Q27']"
31,P92-Fg012-R-C01-R01-D07052015-T085224-LR445 _PSC,"['4Q364', '4Q364', '4Q424', 'WS1', '4Q51', '4Q205', '4Q9999', '4Q59', '4Q51', '4Q51', '4Q284', '4Q537', '4Q522', '11Q17', '4Q27', '4Q522', '11Q10', '4Q299', '4Q63', '4Q365']"
32,P92-Fg044-R-C01-R01-D07052015-T170227-LR445 _PSC,"['4Q300', '4Q78', '4Q422', '4Q259', '4Q57', '4Q394', '4Q204', '4Q422', '4Q437', '2Q4', '4Q42', '4Q37', '4Q209', '4Q392', '4Q33', '4Q23', '4Q56', '4Q284', '4Q220', '4Q491']"
33,P567-Fg029-R-C01-R01-D21052014-T095454-LR445 _PSC,"['4Q381', '4Q18', '4Q365', '4Q51', '4Q51', '4Q161', '4Q206', '4Q52', '4Q27', '4Q58', '4Q51', '4Q577', '4Q524', '11Q11', '4Q365', '11Q17', '4Q23', 'WS1', '4Q577', '4Q521']"
34,P69-Fg004-R-C01-R01-D23122015-T133658-LR445 _PSC,"['4Q388', '4Q82', '4Q388', '4Q561', '4Q525', '11Q6', '4Q415', '4Q530', '11Q10', '4Q226', '4Q259', '4Q47', '4Q388', '4Q413', '11Q10', '4Q172', '11Q18', '4Q82', '4Q388', '4Q34']"
35,P95-Fg107-R-C01-R01-D08072015-T131350-LR445 _PSC,"['4Q52', '4Q543', '4Q78', '4Q265', '4Q19', '4Q57', '4Q105', '4Q172', '4Q170', '4Q57', '4Q53', '4Q524', '4Q421', '11Q17', '4Q555', '4Q524', '4Q456', '4Q183', '4Q177', '4Q82']"
36,P7-Fg103-R-C01-R01-D03042016-T150722-LR445 _PSC,"['4Q540', '4Q23', '4Q484', '4Q391', '4Q223', '4Q391', '4Q23', '4Q391', '4Q208', '4Q502', '4Q502', '4Q37', '4Q418', '4Q23', '4Q502', '4Q107', '4Q382', '4Q223', '4Q418', '4Q224']"
37,P78-Fg037-R-C01-R01-D20072014-T112147-LR445 _PSC,"['4Q83', '4Q82', '4Q388', '11Q18', '11Q10', '11Q10', '11Q10', '4Q404', '11Q10', '4Q561', '4Q393', '11Q10', '4Q47', '4Q388', '4Q525', '4Q172', '4Q413', '4Q418', '4Q57', '11Q17']"
38,P915-Fg010-R-C01-R01-D15102015-T090127-LR445 _PSC,"['4Q56', '4Q419', '4Q74', '4Q19', '4Q265', '4Q78', '4Q284', '4Q160', '4Q422', '4Q543', '4Q300', '4Q57', '4Q183', '4Q53', '4Q170', '4Q555', '4Q543', '4Q282', '4Q57', '4Q261']"
39,P72-Fg008-R-C01-R01-D30082015-T103354-LR445 _PSC,"['4Q172', '4Q105', '4Q51', '4Q524', '4Q52', '4Q524', '4Q57', '4Q525', '4Q456', '4Q270', '4Q543', '4Q82', '4Q551', '4Q381', '4Q197', '4Q170', '4Q423', '4Q265', '4Q582', '4Q57']"
40,P96-Fg009-R-C01-R01-D10082015-T140555-LR445 _PSC,"['4Q81', '4Q364', '4Q76', '4Q27', '4Q27', '4Q364', '4Q51', '4Q389', '4Q381', '4Q319', '4Q99', '4Q206', '4Q182', '4Q51', '4Q525', '4Q364', '4Q524', '4Q522', '4Q429', '4Q379']"
41,P96-Fg052-R-C01-R01-D12082015-T102619-LR445 _PSC,"['4Q51', '4Q172', '4Q57', '4Q105', '4Q52', '4Q270', '4Q456', '4Q525', '4Q524', '4Q434', '4Q543', '4Q381', '4Q551', '4Q524', '4Q426', '4Q51', '4Q543', 'Mas 1', '4Q27', '4Q426']"
42,P91-Fg086-R-C01-R01-D31032015-T133216-LR445 _PSC,"['4Q78', '4Q418', '4Q221', '4Q299', '4Q502', '4Q221', '4Q546', '4Q78', '4Q334', '4Q269', '4Q491', '4Q78', '6Q18', '4Q502', '4Q382', '4Q418', '4Q418', '4Q418', '4Q209', '4Q477']"
43,P93-Fg084-R-C01-R01-D28052015-T141238-LR445 _PSC,"['11Q18', '4Q34', '4Q418', '4Q83', '11Q17', '4Q158', '4Q197', '11Q18', '4Q82', '4Q388', '1Q5', '4Q299', '11Q10', '4Q266', '4Q82', '4Q388', '4Q393', '11Q10', '11Q18', '4Q87']"
44,P93-Fg047-R-C01-R01-D27052015-T134826-LR445 _PSC,"['4Q33', '4Q206', '4Q105', '4Q543', '4Q170', '11Q17', '4Q18', '4Q426', '4Q27', '4Q364', '4Q164', '4Q57', '11Q17', '11Q17', '11Q11', '4Q9', '4Q418', '4Q284', '4Q365', '4Q299']"
45,P78-Fg059-R-C01-R01-D20072014-T151401-LR445 _PSC,"['4Q418', '4Q282', '4Q299', '4Q301', '4Q502', '4Q419', '4Q307', '4Q484', '4Q418', '4Q418', '4Q196', '4Q334', '4Q382', '4Q418', '4Q196', '4Q418', '6Q18', '4Q418', '4Q176', '4Q57']"
46,P82-Fg022-R-C01-R01-D09102013-T084445-LR445 _ColorCalData_IAA_Both_CC110304_110702,"['4Q51', '4Q360', '4Q577', '4Q379', '4Q521', '4Q508', 'MUR4', '11Q7', '4Q266', '4Q52', '4Q54', '4Q267', '4Q524', '2Q2', '4Q261', '11Q6', '4Q266', '4Q403', '4Q58', '4Q365']"
47,P70-Fg033-R-C01-R01-D07092016-T145634-LR445 _PSC,"['4Q197', '4Q388', '4Q556', '4Q204', 'Mas 1b', '11Q17', '11Q21', '4Q421', '4Q160', '4Q388', '4Q5', '2Q4', '4Q23', '4Q299', '4Q82', '4Q170', '4Q525', '11Q16', '4Q23', '4Q57']"
48,P8-Fg013-R-C01-R01-D22062015-T122913-LR445 _PSC,"['4Q73', '4Q23', '4Q73', '2Q23', '4Q23', '1Q28b-664', '4Q208', '4Q342', '4Q69', '4Q423', '4Q416', '1Q28b-1000', '2Q24', '4Q525', '4Q287', '4Q73', '1Q29', '4Q321', '4Q73', '4Q49']"
49,P94-Fg022-R-C01-R01-D10062015-T135845-LR445 _PSC,"['4Q57', '4Q537', '4Q364', '4Q381', '4Q57', '4Q525', '4Q71', '4Q27', '4Q57', '4Q77', '4Q389', '4Q267', '4Q18', '4Q161', '4Q543', '4Q158', '4Q27', '4Q51', '4Q99', '4Q80']"
50,P70-Fg052-R-C01-R01-D08092016-T123024-LR445 _PSC,"['4Q87', '4Q521', '4Q216', '4Q13', '4Q226', '4Q299', '4Q470', '4Q38c', '4Q83', '4Q477', '4Q160', '4Q287', 'Mas 1b', '4Q112', '4Q51', '4Q34', '11Q18', '4Q141', '4Q550', '11Q17']"
51,P43-Fg076-R-C01-R01-D06122015-T121243-LR445 _PSC,"['WD32', '4Q418', '4Q418', '4Q418', '4Q418', '4Q417', '4Q380', '4Q418', '4Q56', '4Q418', '4Q209', '4Q418', '4Q418', '4Q37', '4Q78', '4Q418', '4Q418', '4Q418', '4Q418', '4Q418']"
52,P43-Fg090-R-C01-R01-D06122015-T145757-LR445 _PSC,"['2Q33', '4Q56', '4Q57', '4Q37', '4Q550', '4Q38', '4Q419', '4Q226', '4Q491', '4Q221', '4Q471', '4Q321', '4Q300', '4Q306', '4Q380', '4Q300', '4Q561', '4Q436', '4Q473', '4Q34']"
53,P94-Fg077-R-C01-R01-D14062015-T140312-LR445 _PSC,"['4Q364', '4Q270', '4Q57', '4Q27', '4Q552', '4Q254', '4Q543', '4Q385', '4Q381', '4Q23', '4Q543', '4Q381', '4Q32', '4Q51', '4Q51', '4Q27', '4Q429', '4Q543', '4Q33', '4Q267']"
54,P69-Fg006-R-C01-R01-D23122015-T135320-LR445 _PSC,"['4Q230', '4Q141', '4Q307', '4Q216', '4Q83', '4Q531', '4Q58', '4Q13', '4Q436', '4Q521', '4Q256', '4Q525', '4Q160', '4Q299', '4Q393', '4Q226', '4Q530', '4Q30', '4Q521', '4Q51']"
55,P567-Fg028-R-C01-R01-D21052014-T094624-LR445 _PSC,"['4Q27', '4Q59', '4Q57', '4Q364', '4Q23', '4Q238', '4Q254', '4Q216', '4Q543', '4Q57', '4Q77', '4Q543', '4Q364', '4Q113', '4Q381', '4Q18', '4Q51', '4Q321', '4Q521', '4Q51']"
56,P82-Fg013-R-C01-R01-D07102013-T111812-LR445 _ColorCalData_IAA_Both_CC110304_110702,"['WD28', '4Q71', '4Q27', '2Q2', '4Q301', '4Q418', '2Q2', '2Q1', '4Q51', '4Q23', '4Q266', '4Q44', '4Q200', '4Q552', '4Q266', '4Q381', '4Q200', '4Q18', '11Q18', '4Q30']"
57,P72-Fg028-R-C01-R01-D30082015-T135935-LR445 _PSC,"['4Q27', '4Q27', '2Q1', '4Q531', '4Q23', '4Q401', '4Q266', '4Q504', '4Q113', '4Q173', '4Q160', '4Q58', '4Q531', '4Q51', '11Q6', '4Q266', '4Q402', '4Q393', '2Q2', '4Q402']"
58,P69-Fg014-R-C01-R01-D23122015-T150120-LR445 _PSC,"['4Q287', '4Q434', '4Q57', '4Q261', '4Q405', '4Q34', '4Q536', '4Q275', '4Q419', '4Q286', '4Q321', '4Q416', '4Q531', '4Q450', '4Q38', '4Q141', '4Q418', '4Q57', '2Q33', '4Q204']"
59,P92-Fg027-R-C01-R01-D07052015-T112159-LR445 _PSC,"['11Q17', '4Q405', '4Q450', '4Q203', '4Q275', '4Q266', '4Q18', '4Q401', '4Q202', '4Q531', '4Q13', '4Q203', '4Q261', '4Q57', '4Q537', '4Q172', '4Q58', '4Q282', '4Q434', '4Q57']"
60,P7-Fg019-R-C01-R01-D29032016-T095848-LR445 _PSC,"['4Q224', '4Q224', '4Q382', '4Q572', '4Q502', '4Q500', '4Q382', 'MUR48', 'MUR48', 'MUR115', '4Q208', '4Q502', '4Q558', '4Q502', '4Q382', '4Q519', '4Q519', '4Q519', '4Q223', '4Q391']"
61,P7-Fg048-R-C01-R01-D30032016-T100813-LR445 _PSC,"['4Q382', '4Q196', '4Q382', '4Q502', '4Q502', '4Q196', '4Q176', '4Q282', '4Q196', '4Q541', '4Q418', '4Q157', '4Q223', '6Q23', '4Q391', '4Q558', '4Q418', '4Q502', '4Q382', '4Q301']"
62,P43-Fg034-R-C01-R01-D01122015-T134831-LR445 _PSC,"['4Q418', '4Q419', '4Q419', '4Q418', '4Q221', '4Q37', '4Q531', '4Q226', '4Q418', '4Q205', '4Q197', '4Q381', '4Q417', '4Q418', '4Q422', '4Q275', '4Q23', '4Q418', '4Q223', '4Q56']"
63,P75-Fg004-R-C01-R01-D29072014-T125756-LR445 _PSC,"['4Q71', '4Q267', '4Q267', '4Q267', '4Q266', '4Q381', '4Q379', '4Q299', '4Q282', '4Q80', '4Q176', '4Q44', '4Q389', '4Q525', '4Q57', '4Q77', '4Q80', '4Q51', '6Q14', '4Q214']"
64,P82-Fg046-R-C01-R01-D09102013-T133737-LR445 _ColorCalData_IAA_Both_CC110304_110702,"['4Q267', '4Q51', '4Q286', '4Q51', '4Q267', '4Q267', '4Q51', '4Q54', '4Q206', '4Q163', '4Q525', '4Q543', '4Q51', '4Q374', '4Q266', '4Q80', '4Q267', '4Q51', '4Q525', '4Q267']"
65,P43-Fg009-R-C01-R01-D07122015-T113145-LR445 _PSC,"['4Q340', '4Q37', '4Q435', '4Q184', '4Q176', '4Q57', '4Q405', '4Q47', '4Q30', '4Q56', '4Q51', '4Q37', '4Q304', '4Q78', '4Q176', '4Q491', '4Q301', '4Q550', '4Q287', '4Q290']"
66,P91-Fg079-R-C01-R01-D31032015-T123727-LR445 _PSC,"['4Q176', '4Q78', '4Q527', '4Q284', '4Q418', '4Q418', '4Q290', '4Q418', '4Q418', '4Q176', '4Q55', '4Q380', '4Q269', '4Q176', '4Q418', '4Q418', '4Q84', '4Q269', '4Q47', '4Q261']"
67,P76-Fg026-R-C01-R01-D05082014-T135017-LR445 _PSC,"['4Q426', '4Q379', '4Q51', '4Q99', '4Q270', '4Q543', '4Q227', '4Q266', '4Q82', '4Q167', '4Q286', '4Q429', '4Q51', '4Q51', '4Q51', '8Q5', '4Q423', '4Q197', '4Q458', '4Q374']"
68,P71-Fg026-R-C01-R01-D09092015-T120235-LR445 _PSC,"['4Q389', '4Q33', '4Q521', '4Q531', '4Q51', '4Q87', '4Q158', '4Q206', '4Q266', '4Q508', '4Q299', '4Q279', '2Q21', '4Q82', '4Q57', '4Q51', '4Q381', '4Q23', '4Q27', '4Q62']"
69,P91-Fg010-R-C01-R01-D29032015-T104659-LR445 _PSC,"['4Q340', '4Q375', '4Q30', '4Q405', '4Q37', '4Q435', '4Q412', '4Q299', '4Q89', '4Q33', '4Q32', '4Q244', '4Q531', '4Q582', '4Q531', '4Q304', '4Q287', '4Q27', '4Q89', '4Q83']"
70,P8-Fg038-R-C01-R01-D23062015-T143701-LR445 _PSC,"['4Q382', '4Q391', '4Q502', '4Q398', '4Q498', '4Q502', '4Q196', '4Q223', '4Q502', '4Q382', '4Q382', '4Q196', '6Q18', 'MUR41', '4Q382', '4Q398', '4Q382', '4Q398', '4Q498', '4Q196']"
71,P43-Fg082-R-C01-R01-D06122015-T135217-LR445 _PSC,"['4Q266', '4Q37', '4Q418', '4Q400', '4Q78', '4Q418', '4Q47', '4Q176', '4Q404', '2Q33', '4Q260', '4Q418', '4Q491', '4Q418', '4Q418', '4Q176', '4Q90', '4Q176', '4Q261', '4Q290']"
72,P7-Fg106-R-C01-R01-D03042016-T153643-LR445 _PSC,"['4Q196', '4Q502', '4Q382', '4Q382', '4Q196', '4Q398', '6Q7', '6Q16', 'MUR41', '6Q16', '4Q224', '4Q502', '4Q558', '4Q541', '4Q382', '4Q208', '4Q223', '4Q502', 'MUR41', '4Q223']"
73,P7-Fg091-R-C01-R01-D03042016-T123912-LR445 _PSC,"['4Q299', '4Q51', '4Q418', '4Q380', '4Q208', '4Q222', '4Q418', '4Q78', '4Q176', '4Q418', '4Q418', '4Q491', '4Q409', '4Q53', '4Q78', '4Q176', '4Q418', '4Q380', '4Q547', '4Q265']"
74,P43-Fg008-R-C01-R01-D30112015-T134856-LR445 _PSC,"['4Q521', '4Q158', '4Q381', '4Q270', '4Q389', '4Q373', '4Q33', '4Q531', '4Q531', '4Q508', '4Q87', '4Q52', '4Q531', '11Q13', '2Q21', '4Q51', '4Q214', '4Q508', '4Q82', '4Q160']"
75,P7-Fg075-R-C01-R01-D03042016-T092901-LR445 _PSC,"['MUR41', '4Q196', '4Q541', '4Q208', '4Q382', '6Q22', '6Q16', '6Q7', '4Q224', 'MUR41', '4Q558', '4Q382', '4Q208', '4Q196', '4Q196', '4Q196', '4Q553', '4Q208', '4Q269', '4Q502']"
76,P43-Fg074-R-C01-R01-D06122015-T115259-LR445 _PSC,"['4Q301', '4Q37', '4Q83', '4Q304', '4Q435', '4Q27', '4Q176', '4Q86', '4Q340', '4Q405', '4Q299', '4Q202', '4Q418', '4Q52', '4Q525', '11Q17', '4Q321a-190', '4Q287', '4Q260', '4Q57']"
77,P91-Fg024-R-C01-R01-D29032015-T130429-LR445 _PSC,"['4Q51', '4Q51', '4Q51', '4Q340', '4Q375', '4Q284', '4Q89', '4Q62', '4Q82', '4Q244', '4Q284', '4Q209', '4Q543', '4Q158', '4Q582', '4Q206', '4Q89', '4Q270', '4Q321a-190', '4Q418']"
78,P96-Fg056-R-C01-R01-D12082015-T110356-LR445 _PSC,"['4Q57', '4Q270', '4Q405', '4Q324', '4Q158', '4Q389', '4Q364', '4Q266', '4Q375', '4Q531', '4Q33', '4Q521', '4Q426', '4Q82', '4Q321a-190', '4Q284', '4Q531', '4Q27', '4Q51', '4Q367']"
79,P7-Fg037-R-C01-R01-D29032016-T133916-LR445 _PSC,"['4Q391', '4Q502', '4Q382', '4Q382', '4Q432', '4Q208', '4Q391', '4Q502', '4Q432', '4Q224', '4Q196', 'MUR38', '4Q432', '4Q558', '4Q273', '4Q382', '4Q502', '4Q502', '4Q418', '6Q16']"
80,P73-Fg026-R-C01-R01-D20082015-T130209-LR445 _PSC,"['4Q508', '4Q543', '4Q51', '4Q23', '4Q51', '4Q216', '4Q243', '4Q522', '4Q254', '4Q381', '4Q508', '4Q460', '4Q381', '4Q365', '4Q266', '4Q51', '4Q267', '4Q381', '4Q27', '4Q390']"
81,P75-Fg009-R-C01-R01-D29072014-T133614-LR445 _PSC,"['4Q458', '1Q28b-1000', '4Q458', '1Q28b-1000', '4Q163', '4Q382', '4Q418', '4Q418', '4Q282', '4Q163', '4Q223', '4Q196', '4Q51', '4Q23', '4Q525', '4Q418', '4Q69', '4Q51', '4Q502', '4Q284a-679']"
82,P91-Fg045-R-C01-R01-D30032015-T131948-LR445 _PSC,"['4Q555', '4Q170', '4Q200', '4Q94', '4Q562', '4Q57', '4Q53', '4Q197', '4Q402', '4Q248', '4Q531', '4Q172', '4Q37', '4Q164', '4Q89', '4Q287', '4Q82', '4Q379', '4Q525', '4Q286']"
83,P91-Fg085-R-C01-R01-D31032015-T132445-LR445 _PSC,"['4Q57', '4Q299', '4Q287', '4Q23', '4Q292', '4Q460', '4Q37', '4Q37', '4Q402', '4Q299', '4Q26', '4Q418', '11Q18', '4Q418', '4Q508', '4Q433', '11Q18', '4Q34', '11Q18', '4Q84']"
84,P92-Fg053-R-C01-R01-D10052015-T112734-LR445 _PSC,"['4Q254', '4Q508', '4Q216', '4Q23', '11Q10', '4Q460', '4Q381', '4Q299', '4Q98', '2Q1', '4Q51', '4Q113', '4Q51', '4Q364', '4Q243', '4Q522', '4Q266', '4Q365', '4Q51', '4Q381']"
85,P82-Fg012-R-C01-R01-D07102013-T110919-LR445 _ColorCalData_IAA_Both_CC110304_110702,"['4Q430', '4Q418', '4Q13', '4Q418', '6Q18', 'Mas 1f', '4Q269', '4Q423', '4Q266', '4Q307', '4Q209', '4Q265', '4Q322', '4Q547', '4Q418', '4Q56', '4Q221', '4Q418', '4Q292', '4Q223']"
