order,imagename,col,line_nu,word_nu,glyph_nu,ocr,ocr_x1,ocr_y1,ocr_x2,ocr_y2,ocr_x3,ocr_y3,ocr_x4,ocr_y4,gt,gt_x1,gt_y1,gt_x2,gt_y2,gt_x3,gt_y3,gt_x4,gt_y4,manuscript
910,ok/137-Fg001-R-C01-R01-D24112011-T123520-LR924_012_F.jpg,1,5,7,5,ה,1699,1765,1699,1585,1639,1626,1639,1785,ה,1699,1765,1699,1585,1639,1626,1639,1785,4Q160
935,ok/137-Fg006-R-C01-R01-D24112011-T134152-LR924_012_F.jpg,1,1,1,3,ה,2429,1637,2439,1399,2371,1342,2375,1610,ה,2429,1637,2439,1399,2371,1342,2375,1610,4Q160
940,ok/137-Fg006-R-C01-R01-D24112011-T134152-LR924_012_F.jpg,1,1,3,4,ה,2173,1644,2183,1253,2125,1272,2116,1648,ה,2173,1644,2183,1253,2125,1272,2116,1648,4Q160
943,ok/137-Fg006-R-C01-R01-D24112011-T134152-LR924_012_F.jpg,1,1,5,2,ה,2031,1643,2039,1314,1983,1255,1973,1648,ה,2031,1643,2039,1314,1983,1255,1973,1648,4Q160
945,ok/137-Fg006-R-C01-R01-D24112011-T134152-LR924_012_F.jpg,1,1,5,4,ה,1916,1644,1926,1230,1869,1237,1860,1610,ה,1916,1644,1926,1230,1869,1237,1860,1610,4Q160
948,ok/137-Fg006-R-C01-R01-D24112011-T134152-LR924_012_F.jpg,1,1,7,2,ה,1804,1560,1811,1279,1754,1259,1747,1566,ה,1804,1560,1811,1279,1754,1259,1747,1566,4Q160
950,ok/137-Fg006-R-C01-R01-D24112011-T134152-LR924_012_F.jpg,1,1,7,4,ה,1719,1562,1726,1273,1639,1332,1633,1566,ה,1719,1562,1726,1273,1639,1332,1633,1566,4Q160
958,ok/137-Fg006-R-C01-R01-D24112011-T134152-LR924_012_F.jpg,1,2,3,3,ה,2126,1904,2119,1734,2052,1746,2059,1945,ה,2126,1904,2119,1734,2052,1746,2059,1945,4Q160
967,ok/137-Fg006-R-C01-R01-D24112011-T134152-LR924_012_F.jpg,1,2,5,8,ה,1660,1926,1667,1759,1598,1761,1593,1906,ה,1660,1926,1667,1759,1598,1761,1593,1906,4Q160
970,ok/144-Fg001-R-C01-R01-D07032012-T085731-LR924_012_F.jpg,1,1,1,1,ה,1796,1016,1921,1006,1921,1203,1808,1208,ה,1796,1016,1921,1006,1921,1203,1808,1208,4Q547
1019,ok/183-Fg001-R-C01-R01-D20112011-T143423-LR924_012_F.jpg,1,1,5,5,ה,2110,1683,2115,1535,2063,1524,2057,1668,ה,2110,1683,2115,1535,2063,1524,2057,1668,4Q423
1042,ok/183-Fg001-R-C01-R01-D20112011-T143423-LR924_012_F.jpg,1,1,17,2,ה,1177,1620,1190,1443,1119,1472,1105,1586,ה,1177,1620,1190,1443,1119,1472,1105,1586,4Q423
1048,ok/183-Fg001-R-C01-R01-D20112011-T143423-LR924_012_F.jpg,1,1,19,1,ה,837,1574,853,1409,782,1394,766,1562,ה,837,1574,853,1409,782,1394,766,1562,4Q423
1066,ok/183-Fg001-R-C01-R01-D20112011-T143423-LR924_012_F.jpg,1,2,7,1,ה,1908,1827,1908,1719,1817,1722,1814,1794,ה,1908,1827,1908,1719,1817,1722,1814,1794,4Q423
1072,ok/183-Fg001-R-C01-R01-D20112011-T143423-LR924_012_F.jpg,1,2,11,1,ה,1655,1824,1659,1705,1607,1714,1600,1826,ה,1655,1824,1659,1705,1607,1714,1600,1826,4Q423
1078,ok/183-Fg001-R-C01-R01-D20112011-T143423-LR924_012_F.jpg,1,2,11,7,ה,1320,1791,1338,1655,1269,1683,1259,1754,ה,1320,1791,1338,1655,1269,1683,1259,1754,4Q423
1106,ok/183-Fg001-R-C01-R01-D20112011-T143423-LR924_012_F.jpg,1,3,7,3,ה,1214,2003,1238,1841,1176,1841,1152,1997,ה,1214,2003,1238,1841,1176,1841,1152,1997,4Q423
1112,ok/183-Fg001-R-C01-R01-D20112011-T143423-LR924_012_F.jpg,1,3,9,5,ה,956,1946,971,1765,887,1787,874,1887,ה,956,1946,971,1765,887,1787,874,1887,4Q423
1123,ok/183-Fg001-R-C01-R01-D20112011-T143423-LR924_012_F.jpg,1,3,15,3,ה,518,1943,537,1690,471,1743,460,1881,ה,518,1943,537,1690,471,1743,460,1881,4Q423
1130,ok/183-Fg001-R-C01-R01-D20112011-T143423-LR924_012_F.jpg,1,4,1,7,ה,587,2078,594,2014,581,2018,578,2053,ה,587,2078,594,2014,581,2018,578,2053,4Q423
1137,ok/183-Fg004-R-C01-R01-D20112011-T150224-LR924_012_F.jpg,1,2,1,1,ה,2183,1061,2512,1061,2512,1250,2183,1250,ה,2183,1061,2512,1061,2512,1250,2183,1250,4Q423
1139,ok/183-Fg004-R-C01-R01-D20112011-T150224-LR924_012_F.jpg,1,2,1,3,ה,2117,1197,2126,1072,2070,1075,2061,1209,ה,2117,1197,2126,1072,2070,1075,2061,1209,4Q423
1145,ok/183-Fg004-R-C01-R01-D20112011-T150224-LR924_012_F.jpg,1,2,5,1,ה,1884,1122,1884,1113,1814,1114,1814,1122,ה,1884,1122,1884,1113,1814,1114,1814,1122,4Q423
1147,ok/183-Fg004-R-C01-R01-D20112011-T150224-LR924_012_F.jpg,1,2,5,3,ה,1744,1122,1745,1112,1675,1125,1661,1125,ה,1744,1122,1745,1112,1675,1125,1661,1125,4Q423
1162,ok/183-Fg004-R-C01-R01-D20112011-T150224-LR924_012_F.jpg,1,3,7,3,ה,1657,1328,1661,1137,1604,1139,1600,1317,ה,1657,1328,1661,1137,1604,1139,1600,1317,4Q423
1165,ok/183-Fg004-R-C01-R01-D20112011-T150224-LR924_012_F.jpg,1,3,9,1,ה,1526,1325,1535,1141,1461,1164,1453,1323,ה,1526,1325,1535,1141,1461,1164,1453,1323,4Q423
1168,ok/183-Fg004-R-C01-R01-D20112011-T150224-LR924_012_F.jpg,1,3,9,4,ה,1344,1329,1340,1219,1268,1241,1275,1322,ה,1344,1329,1340,1219,1268,1241,1275,1322,4Q423
1187,ok/183-Fg004-R-C01-R01-D20112011-T150224-LR924_012_F.jpg,1,4,7,5,ה,1547,1498,1547,1368,1500,1359,1493,1463,ה,1547,1498,1547,1368,1500,1359,1493,1463,4Q423
1197,ok/183-Fg004-R-C01-R01-D20112011-T150224-LR924_012_F.jpg,1,5,1,1,ה,2097,1553,2198,1553,2198,1743,2097,1743,ה,2097,1553,2198,1553,2198,1743,2097,1743,4Q423
1215,ok/223-Fg003-R-C01-R01-D06112011-T150334-LR924_012_F.jpg,1,1,1,4,ה,1610,856,1615,782,1565,775,1559,886,ה,1610,856,1615,782,1565,775,1559,886,4Q280
1226,ok/223-Fg003-R-C01-R01-D06112011-T150334-LR924_012_F.jpg,1,1,7,1,ה,1102,816,1127,816,1077,817,1064,817,ה,1102,816,1127,816,1077,817,1064,817,4Q280
1233,ok/223-Fg003-R-C01-R01-D06112011-T150334-LR924_012_F.jpg,1,2,3,3,ה,1784,1048,1794,872,1718,930,1712,1025,ה,1784,1048,1794,872,1718,930,1712,1025,4Q280
1258,ok/223-Fg003-R-C01-R01-D06112011-T150334-LR924_012_F.jpg,1,3,3,5,ה,2243,1230,2243,1044,2180,1017,2180,1191,ה,2243,1230,2243,1044,2180,1017,2180,1191,4Q280
1283,ok/223-Fg003-R-C01-R01-D06112011-T150334-LR924_012_F.jpg,1,3,13,6,ה,1170,1208,1173,1094,1111,1110,1104,1195,ה,1170,1208,1173,1094,1111,1110,1104,1195,4Q280
1295,ok/223-Fg003-R-C01-R01-D06112011-T150334-LR924_012_F.jpg,1,4,1,3,ה,2460,1372,2466,1283,2414,1272,2415,1363,ה,2460,1372,2466,1283,2414,1272,2415,1363,4Q280
1301,ok/223-Fg003-R-C01-R01-D06112011-T150334-LR924_012_F.jpg,1,4,3,5,ה,2205,1371,2204,1256,2154,1277,2155,1362,ה,2205,1371,2204,1256,2154,1277,2155,1362,4Q280
1309,ok/223-Fg003-R-C01-R01-D06112011-T150334-LR924_012_F.jpg,1,4,7,2,ה,1875,1345,1874,1260,1815,1269,1813,1353,ה,1875,1345,1874,1260,1815,1269,1813,1353,4Q280
1311,ok/223-Fg003-R-C01-R01-D06112011-T150334-LR924_012_F.jpg,1,4,7,4,ה,1773,1357,1775,1262,1705,1260,1703,1349,ה,1773,1357,1775,1262,1705,1260,1703,1349,4Q280
1315,ok/223-Fg003-R-C01-R01-D06112011-T150334-LR924_012_F.jpg,1,4,9,3,ה,1621,1364,1626,1266,1565,1276,1561,1342,ה,1621,1364,1626,1266,1565,1276,1561,1342,4Q280
1355,ok/223-Fg003-R-C01-R01-D06112011-T150334-LR924_012_F.jpg,1,5,7,3,ה,1720,1542,1725,1435,1660,1426,1654,1555,ה,1720,1542,1725,1435,1660,1426,1654,1555,4Q280
1366,ok/223-Fg003-R-C01-R01-D06112011-T150334-LR924_012_F.jpg,1,5,11,5,ה,1267,1538,1267,1445,1202,1455,1202,1541,ה,1267,1538,1267,1445,1202,1455,1202,1541,4Q280
1385,ok/223-Fg003-R-C01-R01-D06112011-T150334-LR924_012_F.jpg,1,6,3,4,ה,1962,1732,1970,1604,1909,1599,1891,1726,ה,1962,1732,1970,1604,1909,1599,1891,1726,4Q280
1392,ok/223-Fg003-R-C01-R01-D06112011-T150334-LR924_012_F.jpg,1,6,5,6,ה,1620,1690,1620,1593,1555,1572,1555,1666,ה,1620,1690,1620,1593,1555,1572,1555,1666,4Q280
1425,ok/223-Fg003-R-C01-R01-D06112011-T150334-LR924_012_F.jpg,1,7,11,1,ה,1521,1914,1519,1720,1466,1743,1468,1918,ה,1521,1914,1519,1720,1466,1743,1468,1918,4Q280
1438,ok/257-Fg004-R-C01-R01-D18012012-T134341-LR924_012_F.jpg,1,2,1,1,ה,2134,1033,2295,1033,2295,1126,2134,1126,ה,2134,1033,2295,1033,2295,1126,2134,1126,4Q366
1445,ok/257-Fg004-R-C01-R01-D18012012-T134341-LR924_012_F.jpg,1,2,5,1,ה,1917,1157,1892,1005,1869,1030,1886,1170,ה,1917,1157,1892,1005,1869,1030,1886,1170,4Q366
1454,ok/257-Fg004-R-C01-R01-D18012012-T134341-LR924_012_F.jpg,1,2,9,1,ה,1529,1223,1530,1158,1497,1170,1497,1179,ה,1529,1223,1530,1158,1497,1170,1497,1179,4Q366
1459,ok/257-Fg004-R-C01-R01-D18012012-T134341-LR924_012_F.jpg,1,3,3,3,ה,2141,1343,2123,1232,2044,1200,2079,1351,ה,2141,1343,2123,1232,2044,1200,2079,1351,4Q366
1470,ok/257-Fg004-R-C01-R01-D18012012-T134341-LR924_012_F.jpg,1,3,9,1,ה,1666,1443,1661,1354,1612,1352,1615,1413,ה,1666,1443,1661,1354,1612,1352,1615,1413,4Q366
1478,ok/257-Fg004-R-C01-R01-D18012012-T134341-LR924_012_F.jpg,1,4,5,2,ה,1889,1570,1869,1465,1804,1492,1833,1639,ה,1889,1570,1869,1465,1804,1492,1833,1639,4Q366
1482,ok/257-Fg004-R-C01-R01-D18012012-T134341-LR924_012_F.jpg,1,5,1,2,ה,2293,1756,2276,1531,2218,1582,2232,1771,ה,2293,1756,2276,1531,2218,1582,2232,1771,4Q366
1513,ok/293-Fg002-R-C01-R01-D23112011-T083948-LR924_012_F.jpg,1,4,1,1,ה,2220,1242,2390,1242,2390,1451,2220,1451,ה,2220,1242,2390,1242,2390,1451,2220,1451,4Q176
1517,ok/293-Fg002-R-C01-R01-D23112011-T083948-LR924_012_F.jpg,1,4,1,5,ה,2062,1369,2055,1252,1995,1268,1997,1340,ה,2062,1369,2055,1252,1995,1268,1997,1340,4Q176
1525,ok/293-Fg002-R-C01-R01-D23112011-T083948-LR924_012_F.jpg,1,5,1,1,ה,2093,1434,2200,1434,2200,1516,2093,1516,ה,2093,1434,2200,1434,2200,1516,2093,1516,4Q176
1532,ok/293-Fg002-R-C01-R01-D23112011-T083948-LR924_012_F.jpg,1,5,5,3,ה,1863,1546,1862,1438,1811,1452,1812,1536,ה,1863,1546,1862,1438,1811,1452,1812,1536,4Q176
1551,ok/293-Fg002-R-C01-R01-D23112011-T083948-LR924_012_F.jpg,1,7,3,2,ה,2000,1846,1992,1723,1932,1733,1940,1853,ה,2000,1846,1992,1723,1932,1733,1940,1853,4Q176
1561,ok/293-Fg004-R-C01-R01-D23112011-T085912-LR924_012_F.jpg,1,1,3,5,ה,1953,816,1968,592,1899,560,1865,839,ה,1953,816,1968,592,1899,560,1865,839,4Q176
1589,ok/293-Fg004-R-C01-R01-D23112011-T085912-LR924_012_F.jpg,1,5,1,4,ה,2013,1502,2015,1389,1972,1401,1967,1472,ה,2013,1502,2015,1389,1972,1401,1967,1472,4Q176
1603,ok/293-Fg004-R-C01-R01-D23112011-T085912-LR924_012_F.jpg,1,7,3,1,ה,2258,1862,2261,1702,2202,1694,2198,1893,ה,2258,1862,2261,1702,2202,1694,2198,1893,4Q176
1607,ok/293-Fg004-R-C01-R01-D23112011-T085912-LR924_012_F.jpg,1,7,3,5,ה,2019,1880,2022,1682,1963,1697,1960,1874,ה,2019,1880,2022,1682,1963,1697,1960,1874,4Q176
1626,ok/293-Fg005-R-C01-R01-D23112011-T090326-LR924_012_F.jpg,1,3,3,2,ה,2302,1326,2302,1205,2242,1207,2242,1306,ה,2302,1326,2302,1205,2242,1207,2242,1306,4Q176
1629,ok/293-Fg005-R-C01-R01-D23112011-T090326-LR924_012_F.jpg,1,3,3,5,ה,2149,1338,2140,1233,2076,1229,2072,1303,ה,2149,1338,2140,1233,2076,1229,2072,1303,4Q176
1650,ok/407-Fg001-R-C03-R01-D13092011-T105830-LR924_012_F.jpg,1,3,3,1,ה,2313,1542,2343,1437,2192,1406,2210,1536,ה,2313,1542,2343,1437,2192,1406,2210,1536,4Q511
1693,ok/407-Fg002-R-C03-R01-D13092011-T111452-LR924_012_F.jpg,1,5,1,1,ה,2225,1657,2471,1657,2471,1762,2225,1762,ה,2225,1657,2471,1657,2471,1762,2225,1762,4Q511
1700,ok/407-Fg002-R-C03-R01-D13092011-T111452-LR924_012_F.jpg,1,5,5,1,ה,1823,1730,1832,1623,1748,1635,1736,1763,ה,1823,1730,1832,1623,1748,1635,1736,1763,4Q511
1717,ok/407-Fg002-R-C03-R01-D13092011-T111452-LR924_012_F.jpg,1,6,5,1,ה,1631,1860,1656,1862,1574,1784,1565,1903,ה,1631,1860,1656,1862,1574,1784,1565,1903,4Q511
1724,ok/407-Fg002-R-C03-R01-D13092011-T111452-LR924_012_F.jpg,1,7,1,3,ה,2133,2250,2136,2013,2062,2002,2059,2250,ה,2133,2250,2136,2013,2062,2002,2059,2250,4Q511
1726,ok/407-Fg002-R-C03-R01-D13092011-T111452-LR924_012_F.jpg,1,7,3,1,ה,1985,2242,1988,2038,1896,2018,1893,2228,ה,1985,2242,1988,2038,1896,2018,1893,2228,4Q511
1762,ok/407-Fg004-R-C01-R01-D13092011-T113607-LR924_012_F.jpg,1,3,3,3,ה,2010,1609,2008,1472,1909,1491,1911,1602,ה,2010,1609,2008,1472,1909,1491,1911,1602,4Q511
1767,ok/407-Fg004-R-C01-R01-D13092011-T113607-LR924_012_F.jpg,1,3,5,4,ה,1648,1615,1663,1458,1578,1458,1561,1635,ה,1648,1615,1663,1458,1578,1458,1561,1635,4Q511
1774,ok/407-Fg004-R-C01-R01-D13092011-T113607-LR924_012_F.jpg,1,4,1,3,ה,2171,1832,2165,1693,2059,1654,2045,1855,ה,2171,1832,2165,1693,2059,1654,2045,1855,4Q511
1816,ok/409-Fg001-R-C01-R01-D02112011-T122644-LR924_012_F.jpg,1,1,13,4,ה,594,1247,585,1090,494,1078,503,1251,ה,594,1247,585,1090,494,1078,503,1251,4Q511
1827,ok/409-Fg001-R-C01-R01-D02112011-T122644-LR924_012_F.jpg,1,2,3,4,ה,2488,1283,2456,1110,2380,1111,2424,1275,ה,2488,1283,2456,1110,2380,1111,2424,1275,4Q511
1860,ok/409-Fg001-R-C01-R01-D02112011-T122644-LR924_012_F.jpg,1,3,1,4,ה,2751,1435,2741,1318,2656,1333,2662,1457,ה,2751,1435,2741,1318,2656,1333,2662,1457,4Q511
1882,ok/409-Fg001-R-C01-R01-D02112011-T122644-LR924_012_F.jpg,1,3,9,3,ה,1410,1594,1398,1449,1312,1467,1322,1594,ה,1410,1594,1398,1449,1312,1467,1322,1594,4Q511
1884,ok/409-Fg001-R-C01-R01-D02112011-T122644-LR924_012_F.jpg,1,3,9,5,ה,1244,1595,1241,1469,1153,1477,1161,1599,ה,1244,1595,1241,1469,1153,1477,1161,1599,4Q511
1894,ok/409-Fg001-R-C01-R01-D02112011-T122644-LR924_012_F.jpg,1,3,13,2,ה,550,1642,540,1475,467,1468,476,1633,ה,550,1642,540,1475,467,1468,476,1633,4Q511
1899,ok/409-Fg001-R-C01-R01-D02112011-T122644-LR924_012_F.jpg,1,4,1,3,ה,2835,1578,2824,1436,2742,1478,2749,1575,ה,2835,1578,2824,1436,2742,1478,2749,1575,4Q511
1936,ok/409-Fg001-R-C01-R01-D02112011-T122644-LR924_012_F.jpg,1,5,1,2,ה,2876,1765,2886,1657,2803,1663,2803,1764,ה,2876,1765,2886,1657,2803,1663,2803,1764,4Q511
1940,ok/409-Fg001-R-C01-R01-D02112011-T122644-LR924_012_F.jpg,1,5,1,6,ה,2653,1767,2643,1665,2586,1654,2598,1781,ה,2653,1767,2643,1665,2586,1654,2598,1781,4Q511
2014,ok/409-Fg001-R-C01-R01-D02112011-T122644-LR924_012_F.jpg,1,7,9,2,ה,1501,2367,1480,2165,1426,2171,1444,2342,ה,1501,2367,1480,2165,1426,2171,1444,2342,4Q511
2049,ok/409-Fg002-R-C01-R01-D02112011-T124311-LR924_012_F.jpg,1,2,5,3,ה,1910,1246,1882,1088,1812,1100,1812,1259,ה,1910,1246,1882,1088,1812,1100,1812,1259,4Q511
2065,ok/409-Fg002-R-C01-R01-D02112011-T124311-LR924_012_F.jpg,1,3,3,4,ה,1516,1526,1511,1297,1437,1289,1441,1487,ה,1516,1526,1511,1297,1437,1289,1441,1487,4Q511
